PTS	SC	Title	uid	Comments
M III 299	MN 152	Indriyabhāvanāsutta		
S III 58	SN 22.55	Udānasutta		
M I 329	MN 49	Brahmanimantanikasutta		
D I 215, D I 223	DN 11	Kevaḍḍhasutta		
		Sermon 7		
A V 61	AN 5.49	Kosalasutta		
M I 127	MN 21	Kakacūpamasutta		
M I 415	MN 61	Ambalatthikārāhulovādasutta		
S III 105	SN 22.83	Ānandasutta		
Ud 80	Ud 8.2	Dutiyanibbānapaṭisaṁyuttasutta		
Dhp 180		Buddhavagga	dhp179-196	
Dhp 92-93		Arahantavagga	dhp90-99	
M III 287	MN 149	Mahāsaḷāyatanikasutta		
S II 101	SN 12.64	Atthirāgasutta		
M I 293	MN 43	Mahāvedallasutta		
A II 139	AN 4.142	Pabhāsutta		
A I 10	AN 1.51-52	Accharāsaṅghātavagga	an1.51-60	
_X_ S IV 359		Asaṅkhatasaṁyutta		Can't find sutta
